X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
2499755.266400002874434,2411193.843796707689762,45082,,,2461,JOHNSTON O/H LANE E RICH GANTRY 11,OH LANE,,,,,,,,OPERATIONAL,,,,
2499874.4191,2411179.196196705102921,45083,,,2462,JOHNSTON O/H LANE E HUNTER GANTRY 12,OH LANE,,,,,,,,OPERATIONAL,,,,
2499976.134400001727045,2411166.54459670279175,45084,,,2463,JOHNSTON O/H LANE W TRENERRY GANTRY 13,OH LANE,,,,,,,,OPERATIONAL,,,,
2517238.025699996855,2372442.336396684870124,45085,,,302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT,,,,,,,,OPERATIONAL,,,,
2509411.364699993748218,2400924.536596701480448,45086,,,3281,HUNTINGDALE NR ESTELLE,POS,,,,,,,,OPERATIONAL,,,,
2488698.5456,2411145.608996706083417,45087,,,2518,SUNSHINE/ROBERTS,INT,,,,,,,,OPERATIONAL,,,,
2491141.69030000641942,2417857.942996708676219,45088,,,2791,KEILOR NR COOPER,POS,,,,,,,,OPERATIONAL,,,,
2532014.977299990598112,2413774.984896709211171,45089,,,109,SWANSEA/HULL,INT,,,,,,,,OPERATIONAL,,,,
2489769.331300003454089,2408401.158396704122424,45090,,,1558,WGF 130m West of Williamstown Rd O/B,OH LANE,,,,,,,,OPERATIONAL,,,,
2506921.862299998756498,2401514.772496701218188,45091,,,2486,CHADSTONE SHOPPING CENTRE POS AT ENT 1,POS,,,,,,,,OPERATIONAL,PUFFIN,,,
2515163.073799993377179,2389660.775896691717207,45092,,,963,CHELTENHAM/PARKMORE SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,
2731680.327099909540266,2405130.407196707092226,45093,,,5657,PHE/BAILEY,INT,,,,,,,,OPERATIONAL,DIDO,,,
2519136.714899994898587,2409302.092796704731882,45094,,,1100,MAROONDAH HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,
2518938.193699992261827,2409273.02089670393616,45095,,,1101,MAROONDAH HWY/HILLCREST/CARPARK,INT,,,,,,,,OPERATIONAL,,,,
2501774.251999996136874,2408280.244696705602109,45096,,,4224,SWAN/YARRA/AMRAD,INT,,,,,,,,OPERATIONAL,PUFFIN,,,
2474156.690400008112192,2405574.189196703024209,45097,,,5268,SAYERS/MORRIS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2527158.890299987979233,2387438.778896695934236,45098,,,403,NARRE WARREN NTH/MAGID/RYELANDS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2494637.286100001540035,2410052.851896705105901,45099,,,4434,FOOTSCRAY/WATERFRONT WAY,INT,,,,,,,,OPERATIONAL,,,,
2494361.515299999621,2410165.211796706542373,45100,,,4435,FOOTSCRAY/WESTERN LINK STH-BND OFF RAMP,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2503568.001500001177192,2364562.12969668302685,45101,,,336,BARKLY/RAILWAY/RING,INT,,,,,,,,OPERATIONAL,,,,
2503933.056199995800853,2414885.868996707722545,45102,,,3079,UPPER HEIDELBERG NR IVANHOE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,
2487682.024000002071261,2416834.963696710765362,45103,,,2799,AMIS BTN VISTA & BUCKLEY,FLASH PX,,,,,,,,OPERATIONAL,,,,
2510141.311899993102998,2408110.034596704877913,45104,,,3138,CANTERBURY/SURREY,INT,,,,,,,,OPERATIONAL,,,,
2442619.636300021316856,2371475.489296688232571,45105,,,5301,PAKINGTON/NICHOLAS,INT,,,,,,,,OPERATIONAL,,,,
2512578.523199994117022,2381400.352896690368652,45106,,,241,THOMPSON NR GLADESVILLE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,
2507984.110299993772,2395704.167496700771153,45107,,,3639,OLD DANDENONG/BOURKE,INT,,,,,,,,OPERATIONAL,,,,
2492699.618000003043562,2411023.744896707125008,45108,,,3405,DYNON/DOCK LINK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2511315.747199992183596,2402561.291096699424088,45109,,,478,VIRGINIA NR STEPHENSONS,FLASH PX,,,,,,,,OPERATIONAL,,,,
2483303.38140000263229,2409482.335996703244746,45110,,,2647,BOUNDARY/PLUMMER/SPENCER,INT,,,,,,,,OPERATIONAL,,,,
2489921.741200005169958,2406116.203796703368425,45111,,,3760,MELBOURNE NR WILKINS,POS,,,,,,,,OPERATIONAL,"DIDO,PUFFIN,WCHAIR",,,
