OBJECTID,SRNS1,DECLARED,ROADNAME,LOCALNAME,ALTNAME,ALT2NAME,RMACLASS,Shape__Length,GlobalID
20048,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,33444.8012089908,3a2e4451-0a3f-459b-a029-6e7887b9d55d
20049,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,40544.0323986766,aec0ee39-9fcd-4144-ae06-87571f8e57af
20050,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,1046.00287142354,89b6b45c-97f7-41a7-8499-11bd8e227159
20051,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,55913.1719624292,d3504fa7-c91a-44d3-bbdf-5dd775a42b68
20052,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,26244.0542724901,cae9fde9-03bb-4afc-a716-7b94c1b9154d
20053,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,625.837262509439,15176f8a-50b0-425f-bdea-08d61cc87a63
20054,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,11632.7910319293,1ae8e424-312b-4762-8a19-f017dc9c76cf
20055,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,53163.8700277917,4cd1b4fe-c18c-43c1-9af0-1f660b9a5d6b
20056,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,29036.4990482457,bec202b9-a300-4862-b254-6d99128bdcf9
20057,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,   ,   ,AH,62038.5007740883,edd992f1-ff74-4d27-afa7-590d5033a528
20058,C305,DRUMMOND STREET,DRUMMOND STREET,MACARTHUR STREET,   ,   ,AO,79.7239378213816,551204cb-6bee-41d5-9223-392212a46e83
20059,M79,CALDER FREEWAY,CALDER FREEWAY,CALDER IN-STATION RAMP,   ,   ,FW,410.66419898663,a51f7c1c-a1b9-4e99-bb43-83d3cfbf99b1
20060,C366,EUROA-SHEPPARTON ROAD,EUROA-SHEPPARTON ROAD,SCOTT STREET,   ,   ,AO,631.072593741795,317adb9a-92e1-4cdd-9518-5aa177ee3899
20061,C345,MURCHISON-VIOLET TOWN ROAD,MURCHISON-VIOLET TOWN ROAD,HARRYS CREEK ROAD,   ,   ,AO,328.890515378855,35cc8510-1d6d-4ec8-bcb7-7bbeedcfad6c
20062,M2,TULLAMARINE FREEWAY,TULLAMARINE FREEWAY,MELROSE-TULLAMARINE IN RAMP,   ,   ,FW,803.05157644044,fbedfeab-8625-4f27-bc54-d241373adfd8
20063,M79,CALDER FREEWAY,CALDER FREEWAY,BASSETTS-CALDER IN RAMP,   ,   ,FW,624.357439056838,7dbb9d99-e1b6-4fab-b7d4-b107698a3e63
20064,N,GRIMSHAW STREET,GRIMSHAW STREET,GRIMSHAW STREET,   ,   ,AO,725.712687287198,b41c896a-cacc-44a7-82af-de0cb0814d0d
20065,N,PASCOE STREET,PASCOE STREET,PASCOE STREET,   ,   ,AO,269.075656799905,55571262-4eec-4a2a-a050-dc4001e655f2
20066,N,HEIDELBERG ROAD,HEIDELBERG ROAD,HEIDELBERG ROAD,   ,   ,AO,503.23554281651,91ce5a0a-9e21-4682-b76b-14546a1129e9
20067,N,HEIDELBERG ROAD,HEIDELBERG ROAD,HEIDELBERG ROAD,   ,   ,AO,103.82443992468,8b05f8b3-f56a-4159-a1f5-e607a078c898
20068,N,HEIDELBERG ROAD,HEIDELBERG ROAD,HEIDELBERG ROAD,   ,   ,AO,81.2496128548957,04dd5bb1-8853-44ff-87ac-03a7028d01a6
20069,N,HEIDELBERG ROAD,HEIDELBERG ROAD,HEIDELBERG ROAD,   ,   ,AO,240.901701194922,92bf867a-7913-48b2-9e12-574fb94397eb
20070,N,HEIDELBERG ROAD,HEIDELBERG ROAD,HEIDELBERG ROAD,   ,   ,AO,499.212797132117,0e15ca92-9da8-43f1-9cff-30c949b2c149
20071,A10,CORIO-WAURN PONDS ROAD,CORIO-WAURN PONDS ROAD,HIGH STREET,COLAC ROAD,PRINCES HIGHWAY,AH,1136.98574214544,4b05a852-04d2-4853-b52d-34b971660e87
20072,A10,CORIO-WAURN PONDS ROAD,CORIO-WAURN PONDS ROAD,HIGH STREET,COLAC ROAD,PRINCES HIGHWAY,AH,1128.53157738464,8d6aeac0-5b29-4573-8f75-b30659364d80
20073,A1,PRINCES HIGHWAY EAST,PRINCES HIGHWAY EAST,ROCLA ROAD,   ,   ,AH,13.0687544844801,e826d1d6-31d5-4b59-91bd-b894e6b69174
20074,M8,WESTERN FREEWAY,WESTERN FREEWAY,WESTERN OUT-ROBINSONS RAMP,   ,   ,FW,443.754167787514,7330f1bc-845a-4737-89fc-3672249c79df
20075,C435,BUNURONG ROAD,BUNURONG ROAD,VENUS STREET,   ,   ,AO,644.633268454058,1d614610-e4d9-41f3-9938-8e121fb0c636
20076,N,TULLAMARINE FREEWAY,TULLAMARINE FREEWAY,MICKLEHAM-TULLAMARINE OUT RAMP,   ,   ,FW,581.005325651507,e8e86b23-f656-4efc-9419-40ae3f5df736
20077,B23,MONARO HIGHWAY,MONARO HIGHWAY,MONARO HIGHWAY,   ,   ,AH,43874.9779522271,ce974b1b-5955-4ec6-b7f7-40b337915532
20078,M3,EASTLINK  ,EASTLINK  ,EASTLINK OUT-FERNTREE GULLY RAMP,   ,   ,FW,466.945855560063,f302dedb-5bee-439e-97fd-c8d71d5ed48f
20079,C238,DONALD-STAWELL ROAD,DONALD-STAWELL ROAD,ALFRED STREET,DONALD-STAWELL ROAD,STAWELL-DONALD ROAD,AO,171.201450220501,9e43fb81-0a9b-41b6-aa9c-844ebbdba12b
